수준,어휘,길잡이말,품사,中文,길잡이말,中文,품사,中文,어휘
중급,-가 ,專家전문가,詞綴접사,-去,전문가,專家,접사,詞綴,-가 13
중급,가까이,靠近些가까이 다가오다,副詞/名詞부사/명사,靠近,가까이 다가오다,靠近些,부사/명사,副詞/名詞,가까이
중급,가꾸다,栽培樹木나무를 가꾸다,動詞동사,培育,나무를 가꾸다,栽培樹木,동사,動詞,가꾸다
중급,가난,磨損에 찌들다,名詞명사,貧窮,에 찌들다,磨損,명사,名詞,가난01
중급,가능,提供停車位주차 가능,名詞명사,可能的,주차 가능,提供停車位,명사,名詞,가능
중급,가능성,這是高이 높다,名詞명사,可能性,이 높다,這是高,명사,名詞,가능성
중급,가득하다,水물이,形容詞형용사,滿的,물이,水,형용사,形容詞,가득하다01
중급,가득히,加水至滿물을 가득히 따르다,副詞부사,衝擊,물을 가득히 따르다,加水至滿,부사,副詞,가득히
중급,가라앉다,灰塵먼지가,動詞동사,下沉,먼지가,灰塵,동사,動詞,가라앉다
중급,-가량,大約一小時한 시간가량,詞綴접사,- 數量,한 시간가량,大約一小時,접사,詞綴,-가량06
중급,가렵다,身體몸이,形容詞형용사,癢,몸이,身體,형용사,形容詞,가렵다
중급,가로,長度세로,名詞/副詞명사/부사,寬度,세로,長度,명사/부사,名詞/副詞,가로01
중급,가로등,這將開啟이 켜지다,名詞명사,路燈,이 켜지다,這將開啟,명사,名詞,가로등
중급,가로막다,道路길을,動詞동사,堵塞,길을,道路,동사,動詞,가로막다
중급,가루,製作로 만들다,名詞명사,粉末,로 만들다,製作,명사,名詞,가루01
중급,가르다,用刀칼로,動詞동사,劃分,칼로,用刀,동사,動詞,가르다
중급,가리다,臉얼굴을,動詞동사,螢幕,얼굴을,臉,동사,動詞,가리다02
중급,가리다,爭議시비를,動詞동사,螢幕,시비를,爭議,동사,動詞,가리다03
중급,가만,獨自離開가만 놔두다,副詞부사,仍然,가만 놔두다,獨自離開,부사,副詞,가만
중급,가만있다,保持靜止和沈默잠자코 가만있다,動詞동사,保持靜止,잠자코 가만있다,保持靜止和沈默,동사,動詞,가만있다
중급,가만히,獨自離開가만히 두다,副詞부사,悄悄,가만히 두다,獨自離開,부사,副詞,가만히
중급,가뭄,這이 들다,名詞명사,乾旱,이 들다,這,명사,名詞,가뭄
중급,가사,歌詞노래 가사,名詞명사,歌詞,노래 가사,歌詞,명사,名詞,가사09
중급,가스,天然氣快用完了。가스가 떨어지다,名詞명사,氣體,가스가 떨어지다,天然氣快用完了。,명사,名詞,가스
중급,가스레인지,打開를 켜다,名詞명사,瓦斯爐,를 켜다,打開,명사,名詞,가스레인지
중급,가습기,打開를 켜다,名詞명사,加濕器,를 켜다,打開,명사,名詞,가습기
중급,가입,推薦을 권유하다,名詞명사,加入,을 권유하다,推薦,명사,名詞,가입
중급,가입자,招募를 모집하다,名詞명사,訂閱者,를 모집하다,招募,명사,名詞,가입자
중급,가장,戶主집안의 가장,名詞명사,最多,집안의 가장,戶主,명사,名詞,가장07
중급,가전제품,購買을 구입하다,名詞명사,家用電器,을 구입하다,購買,명사,名詞,가전제품
